,Unnamed: 0,road,subroad,type,id,coords,B4_max,B4_mean,B4_min,B8_max,B8_mean,B8_min,B4_diff_factor,B8_diff_factor
81,81,49,1,road,81,,-282.5,-168.45318595578647,-94.5,-132.5,27.07997399219721,129.0,-67.83143208218007,-223.72463901774967
82,82,49,1,road,82,,-175.0,-226.8732303732304,-166.0,-98.0,-13.350707850708204,50.0,-67.83143208218007,-223.72463901774967
83,83,49,1,road,83,,-308.0,-142.2697795071335,-15.5,-309.0,-190.8404669260699,-132.0,-67.83143208218007,-223.72463901774967
84,84,49,1,road,84,,-452.0,-455.6744487678336,-259.5,-422.0,-324.2425421530477,-246.5,-67.83143208218007,-223.72463901774967
85,85,49,1,road,85,,-102.5,-239.53286082474256,86.5,-294.5,-306.5380154639179,-287.5,-67.83143208218007,-223.72463901774967
86,86,49,1,road,86,,-500.0,-210.9368556701029,-102.5,-559.5,-321.7145618556701,-268.0,-67.83143208218007,-223.72463901774967
87,87,49,1,road,87,,-441.5,-76.62724935732649,253.0,-476.5,-263.94087403599,-23.0,-67.83143208218007,-223.72463901774967
88,88,49,1,road,88,,-270.0,-198.79987129987148,78.0,-307.0,-253.07786357786333,-140.0,-67.83143208218007,-223.72463901774967
89,89,49,1,road,89,,-407.5,-445.9890322580643,-594.5,-270.5,-152.82516129032228,-118.0,-67.83143208218007,-223.72463901774967
90,90,49,1,road,90,,-972.5,-698.0627425614493,-584.0,-330.5,-349.30012936610547,-329.0,-67.83143208218007,-223.72463901774967
91,91,49,1,road,91,,-334.0,-342.7001287001283,-343.5,-290.0,-274.0257400257401,-330.0,-67.83143208218007,-223.72463901774967
92,92,49,1,road,92,,-152.5,-166.77770618556656,-373.0,-370.5,-326.36018041237094,-390.0,-67.83143208218007,-223.72463901774967
93,93,49,1,road,93,,-369.0,-271.90909090909054,-43.5,-285.5,-268.8987012987013,-124.5,-67.83143208218007,-223.72463901774967
94,94,49,1,road,94,,-475.0,-324.9768339768341,-285.0,-284.5,-303.9086229086229,-181.5,-67.83143208218007,-223.72463901774967
95,95,49,1,road,95,,-446.0,-442.6602316602316,-492.5,33.0,-110.22200772200812,-191.5,-67.83143208218007,-223.72463901774967
96,96,49,1,road,96,,-758.5,-563.4928756476684,-342.5,-544.5,-534.6528497409324,-490.5,-67.83143208218007,-223.72463901774967
97,97,49,1,road,97,,-478.5,-445.2857142857147,-207.0,-522.5,-622.2812097812107,-664.0,-67.83143208218007,-223.72463901774967
98,98,49,1,road,98,,-363.0,-372.65463917525767,-367.5,-408.0,-421.3170103092784,-407.5,-67.83143208218007,-223.72463901774967
99,99,49,1,road,99,,-418.0,-437.5634715025906,-440.0,-477.5,-416.20272020725406,-127.0,-67.83143208218007,-223.72463901774967
100,100,49,1,road,100,,-553.5,-563.1480051480055,-461.5,-434.5,-545.3809523809523,-724.5,-67.83143208218007,-223.72463901774967
101,101,49,1,road,101,,-460.0,-522.6585365853655,-555.5,-146.0,-233.7060333761233,-281.0,-67.83143208218007,-223.72463901774967
102,102,49,1,road,102,,-577.0,-493.6781534460338,-415.0,-518.5,-533.2964889466839,-499.5,-67.83143208218007,-223.72463901774967
103,103,49,1,road,103,,-325.5,-350.0737386804658,-377.0,-412.0,-390.41073738680507,-415.0,-67.83143208218007,-223.72463901774967
104,104,49,1,road,104,,-325.5,-282.9749034749034,0.0,-289.0,-249.95045045045072,-170.5,-67.83143208218007,-223.72463901774967
105,105,49,1,road,105,,-421.0,-455.7284427284428,-610.5,-299.5,-300.91891891891873,-286.5,-67.83143208218007,-223.72463901774967
106,106,49,1,road,106,,-506.0,-536.6169250645996,-686.0,-408.5,-427.95736434108585,-514.0,-67.83143208218007,-223.72463901774967
107,107,49,1,road,107,,-431.5,-436.584832904884,-680.5,-349.0,-262.4813624678668,-269.5,-67.83143208218007,-223.72463901774967
108,108,49,1,road,108,,-414.0,-334.59302325581416,-375.0,-471.5,-464.522609819122,-558.5,-67.83143208218007,-223.72463901774967
109,109,49,1,road,109,,-130.5,-149.4024390243901,-241.0,-294.5,-284.2997432605898,-439.0,-67.83143208218007,-223.72463901774967
110,110,49,1,road,110,,-311.0,-198.58192457737343,-126.5,-435.5,-268.44733420026023,-85.5,-67.83143208218007,-223.72463901774967
111,111,49,1,road,111,,-420.0,-415.7246469833124,-420.0,-300.5,-219.57445442875496,-137.0,-67.83143208218007,-223.72463901774967
112,112,49,1,road,112,,-668.5,-598.4540155440415,-514.0,-400.5,-240.94818652849744,133.5,-67.83143208218007,-223.72463901774967
113,113,49,1,road,113,,-816.0,-646.6262886597938,-536.5,-401.5,-383.1114690721652,-364.0,-67.83143208218007,-223.72463901774967
114,114,49,1,road,114,,-507.5,-681.2567741935484,-784.0,-367.0,-399.7645161290325,-473.0,-67.83143208218007,-223.72463901774967
115,115,49,1,road,115,,-633.5,-723.4230271668822,-731.5,101.5,-210.44890038809808,-490.5,-67.83143208218007,-223.72463901774967
116,116,49,1,road,116,,-483.5,-504.7861757105941,-539.0,-348.0,-296.6634366925068,-228.5,-67.83143208218007,-223.72463901774967
117,117,49,1,road,117,,-605.0,-549.0478036175712,-490.0,-422.5,-355.4819121447033,-481.0,-67.83143208218007,-223.72463901774967
118,118,49,1,road,118,,-574.0,-587.6299871299871,-368.5,-363.0,-220.27734877734883,-109.5,-67.83143208218007,-223.72463901774967
